"county","region","year","wage","unemp_rate","lfpr","college_pct","aging_idx","industry_pct","density","log_density","log_wage","wage_level","high_wage","region_f","year_f","wage_z","unemp_rate_z","lfpr_z","college_pct_z","aging_idx_z","log_density_z","industry_pct_z"
"臺南市","南部",2021,4.0917,3.9,60.1,46.89,147.64,44.36,849.61,6.7448,1.4089605316188,"低薪",0,"南部","2021",-0.344292281820959,0.581045049134867,0.202200202745499,-0.278117618063485,-0.181274690594478,0.149116777912422,1.20803086089925
"臺南市","南部",2022,4.1417,3.6,61.2,47.71,156.53,43.64,845.48,6.7399,1.42110633157193,"高薪",1,"南部","2022",-0.282637010773269,0.225961963552448,0.503322966218794,-0.206459796165861,0.0357268027735476,0.145363689912976,1.13340056122435
"臺南市","南部",2023,4.2667,3.5,61.2,49.74,164.89,42.76,848.65,6.7436,1.45084069472694,"高薪",1,"南部","2023",-0.128498833154044,0.107600935024975,0.503322966218794,-0.0290629931754031,0.239791199236617,0.148197654320721,1.04218575051059
"臺南市","南部",2024,4.4833,3.4,61.2,50.59,174.53,43.04,848.06,6.743,1.50035938240786,"高薪",1,"南部","2024",0.13859180102455,-0.0107600935024977,0.503322966218794,0.0452164563526214,0.475099905205995,0.147738092524871,1.07120864482861
"臺東縣","東部",2019,3.5917,3.6,59.4,31.91,144.21,18.34,61.67,4.1218,1.2786256280211,"低薪",0,"東部","2019",-0.960844992297861,0.225961963552448,0.0105766259897646,-1.58718368151032,-0.264999676224661,-1.85993420628064,-1.48902524679641
"臺東縣","東部",2020,3.6417,3.7,58.2,33.54,152.81,18.24,61.24,4.1148,1.29245060558973,"低薪",0,"東部","2020",-0.89918972125017,0.344322992079922,-0.31792093416292,-1.44474191359187,-0.0550769717291582,-1.86529576056556,-1.4993905661957
"臺東縣","東部",2021,3.6833,3.8,58.3,34.74,161.95,17.66,60.7,4.1059,1.30380908948095,"低薪",0,"東部","2021",-0.847892535738493,0.462684020607394,-0.290546137483531,-1.33987680837583,0.168026925839318,-1.87211259387068,-1.55950941871159
"臺東縣","東部",2022,3.7833,3.6,57.8,34.65,168.78,16.61,60.47,4.1021,1.3305966446478,"低薪",0,"東部","2022",-0.724581993643112,0.225961963552448,-0.427420120880483,-1.34774169126704,0.33474460859563,-1.87502315191106,-1.66834527240416
"臺東縣","東部",2023,3.8917,3.4,59.7,37.66,176.26,18.06,60.18,4.0973,1.35884608016066,"低薪",0,"東部","2023",-0.59091336601172,-0.0107600935024977,0.0927010160279372,-1.08470505235015,0.517328542273114,-1.87869964627787,-1.51804814111443
"臺東縣","東部",2024,4.025,3.3,59.5,38.76,183.72,18.37,59.8,4.091,1.39252491087053,"低薪",0,"東部","2024",-0.426540413398578,-0.129121122029971,0.0379514226691555,-0.988578705902119,0.699424283614562,-1.8835250451343,-1.48591565097662
"花蓮縣","東部",2019,3.775,3.6,56.9,44.65,140.16,23.74,70.49,4.2555,1.32840038270099,"低薪",0,"東部","2019",-0.734816768637029,0.225961963552448,-0.673793290994997,-0.47386581446675,-0.363858624271962,-1.75752851943862,-0.929297999234668
"花蓮縣","東部",2020,3.875,3.7,56.2,46.61,149.15,23.74,70.08,4.2496,1.35454566280531,"低薪",0,"東部","2020",-0.611506226541649,0.344322992079922,-0.86541686775073,-0.302586142613893,-0.144416169223756,-1.76204754376449,-0.929297999234668
"花蓮縣","東部",2021,3.9167,3.8,55.2,48.54,158.48,21.82,69.43,4.2403,1.36524946252414,"低薪",0,"東部","2021",-0.560085730487875,0.462684020607394,-1.13916483454463,-0.133928098391438,0.0833255555370625,-1.76917075160017,-1.12831213170107
"花蓮縣","東部",2022,4,3.5,56.7,47.76,167.55,21.68,68.9,4.2327,1.38629436111989,"低薪",0,"東部","2022",-0.457368048922423,0.107600935024975,-0.728542884353777,-0.20209041678186,0.304720779929413,-1.77499186768094,-1.14282357886007
"花蓮縣","東部",2023,4.1333,3.3,58,43.91,176.45,22.07,68.59,4.2281,1.41907611939423,"高薪",1,"東部","2023",-0.292995096309281,-0.129121122029971,-0.372670527521702,-0.538532629349971,0.521966369465456,-1.77851517478246,-1.10239883320284
"花蓮縣","東部",2024,4.2,3.3,58.1,43.83,188.05,21.98,68.14,4.2216,1.43508452528932,"高薪",1,"東部","2024",-0.210746964731662,-0.129121122029971,-0.345295730842311,-0.545523636364373,0.805117924366368,-1.78349376090418,-1.1117276206622
"苗栗縣","中部",2019,4.3583,3.7,58.5,42.48,135.04,46.43,299.65,5.7026,1.47208207307007,"高薪",1,"中部","2019",-0.0155463765946757,0.344322992079922,-0.235796544124749,-0.663496879732412,-0.488835862297192,-0.64914206147988,1.42259297246459
